Program Name,CIP Code,Embed Code,Widget ID,Career Services Link - status,screenshot
"Arts in Early Childhood Education Leadership, Master",,"<!-- Arts in Early Childhood Education Leadership -->
  <iframe onload=""initializeScripts('program-widget-fbe9bf', 'https://widget.lightcastcc.com')"" id=""program-widget-fbe9bf"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc074&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Arts%20in%20Early%20Childhood%20Education%20Leadership%2C%20Master%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Arts in Education, Master",,"<!-- Arts in Education -->
  <iframe onload=""initializeScripts('program-widget-ec49d3', 'https://widget.lightcastcc.com')"" id=""program-widget-ec49d3"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc073&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Arts%20in%20Education%2C%20Master%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Arts in Human Services, Master",,"<!-- Arts in Human Services -->
  <iframe onload=""initializeScripts('program-widget-c6bd93', 'https://widget.lightcastcc.com')"" id=""program-widget-c6bd93"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc061&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Arts%20in%20Human%20Services%2C%20Master%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Arts in Organizational Management, Master",,"<!-- Arts in Organizational Management -->
  <iframe onload=""initializeScripts('program-widget-a6b1ee', 'https://widget.lightcastcc.com')"" id=""program-widget-a6b1ee"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc076&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Arts%20in%20Organizational%20Management%2C%20Master%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Arts in Psychology, Master",,"<!-- Arts in Psychology -->
  <iframe onload=""initializeScripts('program-widget-5af854', 'https://widget.lightcastcc.com')"" id=""program-widget-5af854"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc062&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Arts%20in%20Psychology%2C%20Master%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Arts in Special Education, Master",,"<!-- Arts in Special Education -->
  <iframe onload=""initializeScripts('program-widget-620e1e', 'https://widget.lightcastcc.com')"" id=""program-widget-620e1e"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc080&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Arts%20in%20Special%20Education%2C%20Master%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Business, AA",,"<!-- Business -->
  <iframe onload=""initializeScripts('program-widget-662eb3', 'https://widget.lightcastcc.com')"" id=""program-widget-662eb3"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc016&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Business%2C%20AA%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Economics, BA",,"<!-- Economics -->
  <iframe onload=""initializeScripts('program-widget-41fc52', 'https://widget.lightcastcc.com')"" id=""program-widget-41fc52"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc108&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Economics%2C%20BA%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Finance, MS",,"<!-- Finance -->
  <iframe onload=""initializeScripts('program-widget-6a5db4', 'https://widget.lightcastcc.com')"" id=""program-widget-6a5db4"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc001&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Finance%2C%20MS%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Human Resources Management, Master",,"<!-- Human Resources Management -->
  <iframe onload=""initializeScripts('program-widget-3d6c56', 'https://widget.lightcastcc.com')"" id=""program-widget-3d6c56"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc105&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Human%20Resources%20Management%2C%20Master%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Master of Business Administration, MBA",,"<!-- Master of Business Administration -->
  <iframe onload=""initializeScripts('program-widget-5ff795', 'https://widget.lightcastcc.com')"" id=""program-widget-5ff795"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc003&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Business%20Administration%2C%20MBA%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Master of Information Systems Management (MISM), MISM",,"<!-- Master of Information Systems Management (MISM) -->
  <iframe onload=""initializeScripts('program-widget-c910e5', 'https://widget.lightcastcc.com')"" id=""program-widget-c910e5"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc041&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Information%20Systems%20Management%20%28MISM%29%2C%20MISM%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Master of Public Health (MPH), MPH",,"<!-- Master of Public Health (MPH) -->
  <iframe onload=""initializeScripts('program-widget-9d29ad', 'https://widget.lightcastcc.com')"" id=""program-widget-9d29ad"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc034&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Public%20Health%20%28MPH%29%2C%20MPH%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Military Studies, AA",,"<!-- Military Studies -->
  <iframe onload=""initializeScripts('program-widget-1fe474', 'https://widget.lightcastcc.com')"" id=""program-widget-1fe474"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc046&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Military%20Studies%2C%20AA%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Online Early Childhood Education, AA",,"<!-- Online Early Childhood Education -->
  <iframe onload=""initializeScripts('program-widget-285dc8', 'https://widget.lightcastcc.com')"" id=""program-widget-285dc8"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc021&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Online%20Early%20Childhood%20Education%2C%20AA%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Organizational Management, AA",,"<!-- Organizational Management -->
  <iframe onload=""initializeScripts('program-widget-92a732', 'https://widget.lightcastcc.com')"" id=""program-widget-92a732"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc015&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Organizational%20Management%2C%20AA%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Science in Criminal Justice, Master",,"<!-- Science in Criminal Justice -->
  <iframe onload=""initializeScripts('program-widget-cfe5f3', 'https://widget.lightcastcc.com')"" id=""program-widget-cfe5f3"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc063&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Science%20in%20Criminal%20Justice%2C%20Master%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Science in Health Informatics & Analytics, Master",,"<!-- Science in Health Informatics & Analytics -->
  <iframe onload=""initializeScripts('program-widget-fa6a70', 'https://widget.lightcastcc.com')"" id=""program-widget-fa6a70"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc082&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Science%20in%20Health%20Informatics%20%26%20Analytics%2C%20Master%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Science in Instructional Design & Technology, Master",,"<!-- Science in Instructional Design & Technology -->
  <iframe onload=""initializeScripts('program-widget-03be65', 'https://widget.lightcastcc.com')"" id=""program-widget-03be65"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc101&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Science%20in%20Instructional%20Design%20%26%20Technology%2C%20Master%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Science in Technology Management, Master",,"<!-- Science in Technology Management -->
  <iframe onload=""initializeScripts('program-widget-e0f6bd', 'https://widget.lightcastcc.com')"" id=""program-widget-e0f6bd"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc103&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Science%20in%20Technology%20Management%2C%20Master%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Social Science, BA",,"<!-- Social Science -->
  <iframe onload=""initializeScripts('program-widget-ae898b', 'https://widget.lightcastcc.com')"" id=""program-widget-ae898b"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc109&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Social%20Science%2C%20BA%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
"Supply Chain, BA",,"<!-- Supply Chain -->
  <iframe onload=""initializeScripts('program-widget-d7f2d0', 'https://widget.lightcastcc.com')"" id=""program-widget-d7f2d0"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc110&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Supply%20Chain%2C%20BA%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
